step,total,pde,initial,center,flux
1,1.354026393197e+00,3.128069765482e-01,0.000000000000e+00,0.000000000000e+00,5.206097083247e-02
100,1.583030626539e-01,1.362280206988e-02,0.000000000000e+00,0.000000000000e+00,7.234013029201e-03
200,1.222053501754e-01,1.584053629263e-02,0.000000000000e+00,0.000000000000e+00,5.318240694137e-03
300,1.019581168946e-01,1.301376760921e-02,0.000000000000e+00,0.000000000000e+00,4.447217464268e-03
400,8.595069358275e-02,1.118011988901e-02,0.000000000000e+00,0.000000000000e+00,3.738528684687e-03
500,7.034531813719e-02,7.457881082386e-03,0.000000000000e+00,0.000000000000e+00,3.144371852740e-03
600,5.377538860499e-02,4.506148549383e-03,0.000000000000e+00,0.000000000000e+00,2.463462002780e-03
700,4.513873128769e-02,3.810631685944e-03,0.000000000000e+00,0.000000000000e+00,2.066404980087e-03
800,4.237071851345e-02,3.544689028142e-03,0.000000000000e+00,0.000000000000e+00,1.941301474265e-03
900,3.976731607274e-02,3.286821939239e-03,0.000000000000e+00,0.000000000000e+00,1.824024706675e-03
1000,3.719895381724e-02,2.952404152499e-03,0.000000000000e+00,0.000000000000e+00,1.712327483237e-03
1100,3.459438865728e-02,2.567076170348e-03,0.000000000000e+00,0.000000000000e+00,1.601365624347e-03
1200,3.326895856130e-02,2.405154411901e-03,0.000000000000e+00,0.000000000000e+00,1.543190207470e-03
1300,3.237115231701e-02,2.315923642007e-03,0.000000000000e+00,0.000000000000e+00,1.502761433750e-03
1400,3.147687694202e-02,2.239703310227e-03,0.000000000000e+00,0.000000000000e+00,1.461858681590e-03
1500,3.059739598518e-02,2.172336454525e-03,0.000000000000e+00,0.000000000000e+00,1.421252976533e-03
1850,4.654796755556e-03,5.881889285830e-04,0.000000000000e+00,0.000000000000e+00,2.033303913486e-04
