step,total,pde,initial,center,flux
1,5.518904059795e+00,3.128069765482e-01,0.000000000000e+00,0.000000000000e+00,5.206097083247e-02
100,6.550068027590e-01,7.173183365670e-02,0.000000000000e+00,0.000000000000e+00,5.832749691023e-03
200,4.876478602074e-01,6.151259290584e-02,0.000000000000e+00,0.000000000000e+00,4.261352673016e-03
300,4.098354251654e-01,5.329705982737e-02,0.000000000000e+00,0.000000000000e+00,3.565383653380e-03
400,3.482557388094e-01,4.491477952046e-02,0.000000000000e+00,0.000000000000e+00,3.033409592890e-03
500,2.987006797594e-01,3.885715692563e-02,0.000000000000e+00,0.000000000000e+00,2.598435228337e-03
600,2.553676083368e-01,3.238893156337e-02,0.000000000000e+00,0.000000000000e+00,2.229786767735e-03
700,2.237830360175e-01,2.730553736230e-02,0.000000000000e+00,0.000000000000e+00,1.964774986552e-03
800,2.112321948776e-01,2.512028770435e-02,0.000000000000e+00,0.000000000000e+00,1.861119071732e-03
900,1.989928804083e-01,2.327270663548e-02,0.000000000000e+00,0.000000000000e+00,1.757201737728e-03
1000,1.873884728074e-01,2.177278794056e-02,0.000000000000e+00,0.000000000000e+00,1.656156848668e-03
1100,1.763363355016e-01,2.040454541798e-02,0.000000000000e+00,0.000000000000e+00,1.559317900836e-03
1200,1.706437669218e-01,1.965283889070e-02,0.000000000000e+00,0.000000000000e+00,1.509909280311e-03
1300,1.666233718607e-01,1.908127399414e-02,0.000000000000e+00,0.000000000000e+00,1.475420978666e-03
1400,1.624043298114e-01,1.844084190690e-02,0.000000000000e+00,0.000000000000e+00,1.439634879045e-03
1500,1.579671296596e-01,1.772321979011e-02,0.000000000000e+00,0.000000000000e+00,1.402439098695e-03
1850,8.518622694417e-03,6.868822261040e-04,0.000000000000e+00,0.000000000000e+00,7.831740468313e-05
