lambda_flux,rmse_ref,max_error_ref,mass_balance_rms,pde_loss,flux_loss,pde_residual_rms_tau_ge_1e_4,pde_residual_p99_tau_ge_1e_4,surface_flux_rms_tau_ge_1e_4,surface_flux_max_tau_ge_1e_4
1.0,0.000269666229,0.00185319251,0.00022120354,0.00013944486,0.000513605599,0.0108141727,0.0338418573,0.00286376486,0.0186397154
5.0,0.000413308462,0.0024224262,0.00040601304,0.000198809076,0.000262854675,0.0153946162,0.038248424,0.00106758617,0.00573458845
10.0,0.000229237156,0.00207707188,0.000184282533,0.000307808438,0.000224897742,0.0309432217,0.0582306625,0.00175723176,0.0102679501
20.0,0.000473647226,0.001787028,0.000424573755,0.000588188929,0.000203330391,0.0399137549,0.0741190384,0.000551013557,0.00177273745
40.0,0.00079243445,0.00192953038,0.000730423224,0.000580695816,0.000117824371,0.0265104716,0.0809368059,0.000698540593,0.00347931077
80.0,0.000973563294,0.00489184555,0.00110154502,0.00143890243,0.000109773543,0.0387406494,0.111223822,0.000969755455,0.00291493117
100.0,0.000751190715,0.00171104775,0.000598635627,0.000686882226,7.83174047e-05,0.0394794732,0.0763195149,0.00038514648,0.00253626828
