step,total,pde,initial,center,flux
1,5.731118307105e-01,3.128069765482e-01,0.000000000000e+00,0.000000000000e+00,5.206097083247e-02
100,5.318112702490e-02,4.630287484252e-03,0.000000000000e+00,0.000000000000e+00,9.710167908129e-03
200,4.132600202154e-02,4.621157977890e-03,0.000000000000e+00,0.000000000000e+00,7.340968808730e-03
300,3.664534077430e-02,4.745202048939e-03,0.000000000000e+00,0.000000000000e+00,6.380027745073e-03
400,3.188175638624e-02,3.634938646565e-03,0.000000000000e+00,0.000000000000e+00,5.649363547935e-03
500,2.552769070741e-02,2.158132808154e-03,0.000000000000e+00,0.000000000000e+00,4.673911579852e-03
600,2.172257161930e-02,1.964877031729e-03,0.000000000000e+00,0.000000000000e+00,3.951538917515e-03
700,1.949704887974e-02,1.850461890072e-03,0.000000000000e+00,0.000000000000e+00,3.529317397934e-03
800,1.872050203135e-02,1.794166854230e-03,0.000000000000e+00,0.000000000000e+00,3.385267035425e-03
900,1.791100000321e-02,1.701489067709e-03,0.000000000000e+00,0.000000000000e+00,3.241902187099e-03
1000,1.706017477812e-02,1.580995782076e-03,0.000000000000e+00,0.000000000000e+00,3.095835799208e-03
1100,1.617939863168e-02,1.453580044887e-03,0.000000000000e+00,0.000000000000e+00,2.945163717358e-03
1200,1.572157952398e-02,1.395868273377e-03,0.000000000000e+00,0.000000000000e+00,2.865142250120e-03
1300,1.540728744584e-02,1.362042514118e-03,0.000000000000e+00,0.000000000000e+00,2.809048986345e-03
1400,1.509179326473e-02,1.333947045354e-03,0.000000000000e+00,0.000000000000e+00,2.751569243875e-03
1500,1.477976977618e-02,1.312813976133e-03,0.000000000000e+00,0.000000000000e+00,2.693391160010e-03
1850,1.513082451630e-03,1.988090760049e-04,0.000000000000e+00,0.000000000000e+00,2.628546751250e-04
