step,total,pde,initial,center,flux
1,2.395245809847e+00,3.128069765482e-01,0.000000000000e+00,0.000000000000e+00,5.206097083247e-02
100,2.874585394880e-01,2.809300364944e-02,0.000000000000e+00,0.000000000000e+00,6.484138395963e-03
200,2.184625793647e-01,2.877623052535e-02,0.000000000000e+00,0.000000000000e+00,4.742158720985e-03
300,1.818848489120e-01,2.385233572146e-02,0.000000000000e+00,0.000000000000e+00,3.950812829763e-03
400,1.555115321135e-01,2.101660136272e-02,0.000000000000e+00,0.000000000000e+00,3.362373268768e-03
500,1.312505149507e-01,1.616454648278e-02,0.000000000000e+00,0.000000000000e+00,2.877149211699e-03
600,1.114232124621e-01,1.316710273959e-02,0.000000000000e+00,0.000000000000e+00,2.456402743063e-03
700,9.698270656040e-02,1.066048429716e-02,0.000000000000e+00,0.000000000000e+00,2.158055556581e-03
800,9.148261111503e-02,9.894395917815e-03,0.000000000000e+00,0.000000000000e+00,2.039705379930e-03
900,8.624394785732e-02,9.265916317384e-03,0.000000000000e+00,0.000000000000e+00,1.924450788498e-03
1000,8.126103242304e-02,8.669382330524e-03,0.000000000000e+00,0.000000000000e+00,1.814791252313e-03
1100,7.640116663158e-02,7.996236780963e-03,0.000000000000e+00,0.000000000000e+00,1.710123246265e-03
1200,7.384694436987e-02,7.591256389556e-03,0.000000000000e+00,0.000000000000e+00,1.656392199508e-03
1300,7.203309692286e-02,7.286505497438e-03,0.000000000000e+00,0.000000000000e+00,1.618664785636e-03
1400,7.014087262702e-02,6.962560392063e-03,0.000000000000e+00,0.000000000000e+00,1.579457805874e-03
1500,6.818581767316e-02,6.631497954705e-03,0.000000000000e+00,0.000000000000e+00,1.538857992961e-03
1850,5.293670672948e-03,5.806958158458e-04,0.000000000000e+00,0.000000000000e+00,1.178243714276e-04
