step,total,pde,initial,center,flux
1,4.477684643145e+00,3.128069765482e-01,0.000000000000e+00,0.000000000000e+00,5.206097083247e-02
100,5.349954354947e-01,5.728369531930e-02,0.000000000000e+00,0.000000000000e+00,5.971396752193e-03
200,4.002088985799e-01,5.114631499056e-02,0.000000000000e+00,0.000000000000e+00,4.363282294867e-03
300,3.352919642443e-01,4.368721109878e-02,0.000000000000e+00,0.000000000000e+00,3.645059414319e-03
400,2.861176439567e-01,3.757899867817e-02,0.000000000000e+00,0.000000000000e+00,3.106733065981e-03
500,2.451970842540e-01,3.185376227570e-02,0.000000000000e+00,0.000000000000e+00,2.666791524729e-03
600,2.093591875597e-01,2.616005213217e-02,0.000000000000e+00,0.000000000000e+00,2.289989192844e-03
700,1.830747094902e-01,2.163497563331e-02,0.000000000000e+00,0.000000000000e+00,2.017996673211e-03
800,1.727289599533e-01,1.987230989145e-02,0.000000000000e+00,0.000000000000e+00,1.910708125774e-03
900,1.627922517871e-01,1.845586663951e-02,0.000000000000e+00,0.000000000000e+00,1.804204814344e-03
1000,1.535079527478e-01,1.735184662271e-02,0.000000000000e+00,0.000000000000e+00,1.701951326563e-03
1100,1.447986156492e-01,1.636973625373e-02,0.000000000000e+00,0.000000000000e+00,1.605360992443e-03
1200,1.403656982194e-01,1.582560639791e-02,0.000000000000e+00,0.000000000000e+00,1.556751147769e-03
1300,1.372517332051e-01,1.540569695829e-02,0.000000000000e+00,0.000000000000e+00,1.523075453085e-03
1400,1.339915576288e-01,1.492783006655e-02,0.000000000000e+00,0.000000000000e+00,1.488296594528e-03
1500,1.305631549095e-01,1.438432869897e-02,0.000000000000e+00,0.000000000000e+00,1.452235327631e-03
1850,1.022078589558e-02,1.438902429607e-03,0.000000000000e+00,0.000000000000e+00,1.097735433247e-04
