step,total,pde,initial,center,flux
1,8.334166848728e-01,3.128069765482e-01,0.000000000000e+00,0.000000000000e+00,5.206097083247e-02
100,8.344741256575e-02,7.548119290229e-03,0.000000000000e+00,0.000000000000e+00,7.589929327552e-03
200,6.454762783120e-02,8.211760648223e-03,0.000000000000e+00,0.000000000000e+00,5.633586718298e-03
300,5.371152708448e-02,6.523382187104e-03,0.000000000000e+00,0.000000000000e+00,4.718814489737e-03
400,4.367635944716e-02,4.687678909619e-03,0.000000000000e+00,0.000000000000e+00,3.898868053755e-03
500,3.685555604243e-02,3.727250090775e-03,0.000000000000e+00,0.000000000000e+00,3.312830595166e-03
600,3.547666553022e-02,5.753535512745e-03,0.000000000000e+00,0.000000000000e+00,2.972313001747e-03
700,2.807579753330e-02,2.553133218092e-03,0.000000000000e+00,0.000000000000e+00,2.552266431521e-03
800,2.675706563265e-02,2.387316536696e-03,0.000000000000e+00,0.000000000000e+00,2.436974909595e-03
900,2.545184457857e-02,2.233646902990e-03,0.000000000000e+00,0.000000000000e+00,2.321819767558e-03
1000,2.416319139813e-02,2.090932675667e-03,0.000000000000e+00,0.000000000000e+00,2.207225872247e-03
1100,2.286301635331e-02,1.941989326119e-03,0.000000000000e+00,0.000000000000e+00,2.092102702719e-03
1200,2.216603088431e-02,1.856747497654e-03,0.000000000000e+00,0.000000000000e+00,2.030928338666e-03
1300,2.166710476763e-02,1.794066804768e-03,0.000000000000e+00,0.000000000000e+00,1.987303796286e-03
1400,2.114378614781e-02,1.728208210131e-03,0.000000000000e+00,0.000000000000e+00,1.941557793768e-03
1500,2.059918294192e-02,1.660478957314e-03,0.000000000000e+00,0.000000000000e+00,1.893870398461e-03
1850,2.556785857168e-03,3.078084375262e-04,0.000000000000e+00,0.000000000000e+00,2.248977419642e-04
